line_name,smiles,mean_IC50,mean_pIC50
BT-549,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.2366,1.655672432773635
BT-549,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.2366,1.655672432773635
BT-549,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.2366,1.655672432773635
BT-549,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.2366,1.655672432773635
BT-549,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.2366,1.655672432773635
CAKI-1,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CAKI-1,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CAKI-1,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CAKI-1,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CAKI-1,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
CCRF-CEM,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,4.0,1.6094379124341003
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3248,1.844478413560284
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3248,1.844478413560284
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3248,1.844478413560284
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3248,1.844478413560284
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3248,1.844478413560284
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3247,1.844462602658667
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3247,1.844462602658667
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3247,1.844462602658667
COLO 205,Cc1ccn2c3C(=O)c4ccccc4C(=O)c3c(C(=O)O)c2c1,5.3247,1.844462602658667
